;Bubble sort;Quick Sort;Counting Sort;Heap Sort;Selection Sort;Insertion Sort;Merge Sort
100;0.001;0.00008972;0.000005;0.000005;0.0002231;0.032;0.0001
500;0.002;0.0003575;0.000015;0.000019;0.0003215;0.135;0.0002
1000;0.008;0.0004861;0.00002;0.000042;0.0004636;0.355;0.001
2000;0.032;0.001097;0.000071;0.000093;0.0009287;0.497;0.001
3000;0.067;0.001408;0.000091;0.000133;0.001217;0.754;0.001
4000;0.177;0.00155;0.000114;0.000249;0.001423;1.27;0.001
5000;0.206;0.001641;0.000138;0.000158;0.001678;1.437;0.001
6000;0.347;0.002078;0.000161;0.000371;0.001914;1.855;0.001
7000;0.394;0.002107;0.000202;0.000355;0.002354;3.174;0.001
8000;0.5;0.002391;0.000376;0.000236;0.002537;2.393;0.001
9000;0.672;0.002588;0.000179;0.000234;0.002882;2.632;0.001
10000;0.748;0.002886;0.000217;0.000265;0.003173;4.109;0.001
20000;3.263;0.005343;0.000407;0.00094;0.006397;6.184;0.001
30000;6.583;0.007911;0.001002;0.001315;0.009588;11.134;0.001
40000;12.57;0.01048;0.001041;0.00134;0.01435;11.142;0.001
50000;19.468;0.01258;0.001271;0.001865;0.01876;14.163;0.001
60000;26.401;0.01485;0.001365;0.002483;0.0233;22.243;0.001
70000;34.547;0.01737;0.001888;0.002026;0.0284;27.11;0.002
80000;45.511;0.02033;0.002117;0.003021;0.03436;23.882;0.002
90000;61.29;0.02523;0.002768;0.003549;0.04505;33.494;0.002
100000;78.983;0.02618;0.002652;0.00336;0.04869;23.413;0.003
